ds,search_filter,url,title,type,location,guests,bedrooms,beds,is_studio,baths,half_baths,shared_baths,price,avg_rating,n_reviews,gym_bool,wifi_bool,self_check_in_bool,air_conditioning_bool,pets_allowed_bool,indoor_fireplace_bool,hot_tub_bool,free_parking_bool,pool_bool,kitchen_bool,breakfast_bool,elevator_bool,washer_bool,dryer_bool,heating_bool,waterfront_bool,dishwasher_bool,beachfront_bool,ski_in_ski_out_bool,terrace_bool,sonos_sound_system_bool,bbq_grill_bool,hair_dryer_bool,chefs_kitchen_bool
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/42599774,Explore Jeddah from a (Cozy Private) Apartment,Entire apartment,Jeddah,,1,,False,1.0,,,94.0,4.63,59.0,,True,,1.0,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/45470473,"Cozy, modern & sparkle clean 2-bedroom apartment",Entire apartment,Jeddah,2.0,2,2.0,False,1.5,,,140.0,5.0,8.0,,True,,1.0,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/46428439,Economic Intimate Apartment,Entire apartment,Jeddah,,0,,True,1.0,,,48.0,3.5,6.0,,True,,1.0,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/42299172,"Nice, intimate, and cozy لطيفة، هادئة وعاطفية",Entire apartment,جدة,,1,,False,1.0,,,51.0,4.47,32.0,,,,1.0,,,,True,,True,,True,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/24788206,small room near waterfront غرفه صغيرة بمطبخ,Entire apartment,Jeddah,,1,,False,1.0,,,32.0,4.36,109.0,,True,,1.0,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/41293019,شقة مفروشة غرفة واحدةFurnished Apt 1 Bedroom,Entire apartment,Jeddah,0.0,1,0.0,False,1.0,,,45.0,4.0,3.0,,True,,1.0,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/47709385,Luxury 1 bedroom 2 bath with a roof near Sari St.,Entire apartment,Jeddah,,1,,False,2.0,,,36.0,,,,,,1.0,True,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/47582015,Peaceful & Homely Suite w/ Comfy Bed & free WiFi,Entire apartment,Jeddah,,1,,False,1.0,,,42.0,,,,True,,1.0,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/43633056,شقةمستقلة كأنك في بيتك قريب من العرب مول شمال حراء,Entire loft,Jeddah,2.0,1,2.0,False,1.0,,,64.0,4.94,32.0,,,,1.0,,,,True,,True,,True,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/45436640,نعيم جدة,Entire apartment,Jeddah,,1,,False,2.0,,,67.0,4.56,9.0,,,,1.0,,,,True,,True,,True,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/47250345,Newly furnished private place. 5 mins from airport,Entire apartment,Jeddah,3.0,2,3.0,False,1.0,,,43.0,,,,,,1.0,,,,True,,True,,,True,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/39945588,"Nice, intimate and cozy.
لطيفة، دافئة و عاطفية",Entire apartment,Jeddah,,1,,False,1.5,,,57.0,4.7,10.0,,,,1.0,,,,True,,True,,True,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/46508455,Great location suite,Entire apartment,Jeddah,0.0,0,0.0,True,1.0,,,45.0,3.67,3.0,,,,1.0,,,,True,,,,,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/46390296,"Enjoy the sunlight    
استمتع بأشعة الشمس",Entire apartment,Jeddah,4.0,2,4.0,False,2.0,,,53.0,,,,,,1.0,,,,True,,True,True,,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/41126916,Apart couzy &Comfort near Airport غرفة أنيقةونظيفة,Entire apartment,Jeddah,,1,,False,1.0,,,34.0,4.2,10.0,,,,1.0,,True,,,,True,,True,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/44682311,Jeddah Central Modern Apartment!,Entire apartment,Jeddah,5.0,2,5.0,False,2.0,,,77.0,4.67,15.0,,,,1.0,,,,True,,True,,True,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/34787986,Elegant studio Apartment,Entire apartment,Jeddah,,0,,True,1.0,,,75.0,4.79,19.0,,True,,1.0,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/39824302,حي الهدى بجدة,Entire apartment,جدة,,0,,True,,,,48.0,,,,True,,1.0,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:13:52.067842,,http://airbnb.com/rooms/47489290,Cozy & safe apartment in the best part of Jeddah,Entire apartment,Jeddah,,1,,False,1.0,,,48.0,,,,,,1.0,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/42197860,Monthly rent*Luxury2BD APT cleaning servشقة غرفتين,Entire apartment,Jeddah,2.0,2,2.0,False,1.0,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/47489290,Cozy & safe apartment in the best part of Jeddah,Entire apartment,Jeddah,,1,,False,1.0,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/43852439,Private room for females only غرفة للسيدات فقط,Private room,Jeddah,,1,,False,,,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/35140361,"بيتي هو بيتك تمتع 
بالهدوء والراحة",Private room,جدة,,1,,False,,,,16.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/46390296,"Enjoy the sunlight    
استمتع بأشعة الشمس",Entire apartment,Jeddah,4.0,2,4.0,False,2.0,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/41446689,Bedroom in a sharing apart. غرفة نوم في منزل مشترك,Private room,Jeddah,,1,,False,1.0,,,32.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/39733836,Spacious equipped appartment btw airport & Seaside,Entire apartment,Jeddah,2.0,2,2.0,False,2.5,,,40.0,4.69,39.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/39657308,Home Sweet Home,Entire apartment,Jeddah,2.0,1,2.0,False,1.0,,,93.0,4.94,36.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/40996190,شقة بالكامل بموقع مميز حي السليمانية Apart spaciou,Entire apartment,Jeddah,2.0,2,2.0,False,2.0,,,62.0,4.56,9.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/44942852,دماك الجوهره,Entire loft,Jeddah,2.0,1,2.0,False,2.0,,,347.0,4.25,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/35079502,Bed room with living room affordable price,Entire apartment,Jeddah,,1,,False,1.0,,,40.0,4.3,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/45418756,Luxurious Modern Home With Recreational Facilities,Entire apartment,Jeddah,,1,,False,1.5,,,159.0,5.0,4.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/39461932,شقه كاملة  قريب من الأماكن الحيوية  Nice Location,Entire apartment,Jeddah,3.0,2,3.0,False,2.0,,,69.0,4.65,20.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/47064109,غرفة مستقلة فيها سرير ومكيف,Private room,Jeddah,,1,,False,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/42340865,"Mabaat homes luxury 2BR standard size Villa in obhour beach, perfect location",Entire villa,Jeddah,3.0,2,3.0,False,5.5,,,189.0,4.88,17.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/47779128,"Private room, bathroom with separate entrance.",Private room,Jeddah,,0,,True,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/47496281,قبو مجهز بالكامل Well prepared basement,Entire guest suite,Jeddah,2.0,1,2.0,False,1.0,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/43626838,Luxury VIP SUITE Apartment (Private Building),Entire serviced apartment,Jedday,2.0,1,2.0,False,1.0,,,93.0,4.92,62.0,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/47405249,Al-Muraba'a Studio,Entire condominium,Jeddah,0.0,1,0.0,False,1.0,,,75.0,,,,,True,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:55.093133,,http://airbnb.com/rooms/42586316,القصر 6 ( شقة رقم 2 ) خصم  21 %,Entire apartment,Jeddah,,1,,False,1.0,,,48.0,4.48,21.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:13:57.538588,,http://airbnb.com/rooms/42340865,"Mabaat homes luxury 2BR standard size Villa in obhour beach, perfect location",Entire villa,Jeddah,3.0,2,3.0,False,5.5,,,189.0,4.88,17.0,,True,,True,,,,,,,,,True,True,,,,,,,,,,
