ds,search_filter,url,title,type,location,guests,bedrooms,beds,is_studio,baths,half_baths,shared_baths,price,avg_rating,n_reviews,gym_bool,wifi_bool,self_check_in_bool,air_conditioning_bool,pets_allowed_bool,indoor_fireplace_bool,hot_tub_bool,free_parking_bool,pool_bool,kitchen_bool,breakfast_bool,elevator_bool,washer_bool,dryer_bool,heating_bool,waterfront_bool,dishwasher_bool,beachfront_bool,ski_in_ski_out_bool,terrace_bool,sonos_sound_system_bool,bbq_grill_bool,hair_dryer_bool,chefs_kitchen_bool
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/45132626,استديو مؤثث حديثا ينعم بالخصوصية والراحة التامة,Entire apartment,Riyadh,,1,,False,1.0,,,143.0,,,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/47365100,شقة واسعة خاصة ومجدده | Private renewed apartment,Entire apartment,Riyadh,3.0,2,3.0,False,3.0,,,96.0,4.8,5.0,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/32275640,Almost new private Studio set-up for Professionals,Entire house,Riyadh,,1,,False,1.0,,,29.0,4.67,9.0,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/39655826,Luxurious Large Apartment~ New Furniture,Entire apartment,Riyadh,2.0,2,2.0,False,2.0,,,82.0,,,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/45622950,Cozy & Beautiful apartment,Entire apartment,Riyadh,,1,,False,1.0,,,73.0,4.5,6.0,,,True,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/34478282,Alnada Bedroom with Private Bathroom & Access,Private room,Riyadh,,1,,False,,,,37.0,4.96,26.0,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/45498360,New Apartment in Riyadh,Entire apartment,Riyadh,2.0,2,2.0,False,4.0,,,80.0,,,,,True,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/41706541,جناح كبير في منطقة هادئة دور ارضي تسجيل دخول ذاتي,Entire apartment,الرياض,0.0,1,0.0,False,1.5,,,56.0,3.63,35.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/47762138,دارك العزيزية 2,Entire apartment,Riyadh,,1,,False,1.0,,,47.0,,,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/46286349,Nawal Cozy home,Private room,Riyadh,,1,,False,,,,41.0,5.0,4.0,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/26598125,Clean&Tidy 2Bedroom Apartment- close to amenities,Entire apartment,Riyadh,4.0,2,4.0,False,2.0,,,43.0,4.88,8.0,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/28885382,Condo (Private Entrance & Private Parking Space).,Entire apartment,Riyadh,,1,,False,1.0,,,126.0,4.88,134.0,,,True,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/41724657,Modern Cozy Privet Room Minutes Away From KAFD,Entire apartment,Riyadh,,1,,False,1.0,,,40.0,3.33,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/20023187,"Nawal cozy home 3   very small, cozy,complet nest",Tiny house,Riyadh,,1,,False,,0.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/43941920,Immaculate Studio designed for professionals,Entire house,Riyadh,,1,,False,1.0,,,29.0,5.0,4.0,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/47577025,Spacious Unfurnished Apartment Downtown (عزاب),Entire apartment,Riyadh,0.0,2,0.0,False,1.0,,,37.0,,,,,True,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:11.753571,iyadh,http://airbnb.com/rooms/45357674,Alnada Double Bedroom with Private Bathroom,Private room,Riyadh,,1,,False,,,,37.0,,,,,,,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/43941920,Immaculate Studio designed for professionals,Entire house,Riyadh,,1,,False,1.0,,,29.0,5.0,4.0,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/28885382,Condo (Private Entrance & Private Parking Space).,Entire apartment,Riyadh,,1,,False,1.0,,,126.0,4.88,134.0,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/47762138,دارك العزيزية 2,Entire apartment,Riyadh,,1,,False,1.0,,,47.0,,,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/47765664,الرياض العريجاء الغربيه شارع حمزه بن عبدالمطلب,Entire apartment,Riyadh,,1,,False,1.0,,,29.0,,,,,,True,,,,True,,True,,,True,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/20023187,"Nawal cozy home 3   very small, cozy,complet nest",Tiny house,Riyadh,,1,,False,,0.0,,33.0,,,,True,,True,,,,,,,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/47755199,شقة للايجار السنوي بالرياض,Entire apartment,Riyadh,0.0,2,0.0,False,2.0,,,27.0,,,,,,,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/38954595,"Expat Friendly, walking distance to all services",Entire apartment,Al Kharj,,1,,False,1.0,,,15.0,,,,,,True,True,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/43778241,Alnada Single Bedroom with Shared Bathroom,Private room,Riyadh,,1,,False,,,,32.0,,,,True,,True,,,,,,True,True,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/46286349,Nawal Cozy home,Private room,Riyadh,,1,,False,,,,41.0,5.0,4.0,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/46311511,دار العشق,Entire apartment,Riyadh,,1,,False,1.0,,,128.0,5.0,6.0,,True,,True,,,,,True,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/44729425,شقة في عمارة عوائل هادئة تسجيل دخول ذاتي,Entire condominium,Riyadh,0.0,1,0.0,False,1.0,,,127.0,3.73,30.0,,,,True,,,,True,,True,,True,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/39149896,فيلا في حي الامانة بالرياض - private luxury villa,Entire villa,Riyadh,4.0,2,4.0,False,4.0,,,534.0,4.59,17.0,,,,True,,,,True,True,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/43925951,Clean Studio,Entire house,Riyadh,,1,,False,1.0,,,29.0,,,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/41655210,Private entrance دخول ذاتي🌺 مدخل خاص دور ارضي شقة6,Entire apartment,الرياض,,1,,False,1.0,,,133.0,4.89,38.0,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/46626593,شقة جاكوزي راقية غرفة وصالة عزاب او عوائل,Entire apartment,Riyadh,,1,,False,1.5,,,93.0,4.6,5.0,,True,,True,True,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/45357674,Alnada Double Bedroom with Private Bathroom,Private room,Riyadh,,1,,False,,,,37.0,,,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/47577025,Spacious Unfurnished Apartment Downtown (عزاب),Entire apartment,Riyadh,0.0,2,0.0,False,1.0,,,37.0,,,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/38967129,شقة خاصه مدخل خاص دور ارضيPrivate entrance Gf *1,Entire apartment,الرياض,,1,,False,2.0,,,123.0,4.6,47.0,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/45407869,شقة فندقيه دور أرضي بمدخل خاص,Entire apartment,Riyadh,,1,,False,1.0,,,80.0,4.92,13.0,,,True,True,,,,,,True,,,,,,,,,,,,,,
2021-01-20 04:14:14.997854,iyadh,http://airbnb.com/rooms/33514504,“Holy Sheet apartment Almalqa”  “شقه خاصة”,Entire apartment,Riyadh,,1,,False,1.0,,,58.0,4.68,65.0,,True,True,True,,,,,,,,True,,,,,,,,,,,,
2021-01-20 04:14:17.029956,iyadh,http://airbnb.com/rooms/45118624,5 stars furnished apartment,Entire apartment,Riyadh,2.0,2,2.0,False,2.0,,,70.0,5.0,3.0,True,,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:17.029956,iyadh,http://airbnb.com/rooms/44691672,شقة فالملقا 🕶,Entire apartment,Riyadh,0.0,1,0.0,False,1.0,,,171.0,,,,True,,True,,,,True,,True,,,,,,,,,,,,,,
2021-01-20 04:14:17.029956,iyadh,http://airbnb.com/rooms/45938539,لدي 9 شقق VIP بمدخل خاص مستقل 🔑📪 دخول وخروج ذاتي,Entire apartment,Riyadh,2.0,2,2.0,False,2.0,,,145.0,4.55,11.0,,True,,True,,,,True,,True,,,,,,,,,,,,,,
